Domain Code,AreaName,ItemName,Year,Value,Flag,FlagD
FS,Aruba,Per capita food supply variability (kcal/capita/day),2008,,NA,Not applicable
FS,Aruba,Per capita food supply variability (kcal/capita/day),2009,,NA,Not applicable
FS,Aruba,Per capita food supply variability (kcal/capita/day),2010,,NA,Not applicable
FS,Aruba,Per capita food supply variability (kcal/capita/day),2011,,NA,Not applicable
FS,Belize,Per capita food supply variability (kcal/capita/day),2000,45,,Official data
FS,Belize,Per capita food supply variability (kcal/capita/day),2001,23,,Official data
FS,Belize,Per capita food supply variability (kcal/capita/day),2002,33,,Official data
FS,Belize,Per capita food supply variability (kcal/capita/day),2003,43,,Official data
FS,Belize,Per capita food supply variability (kcal/capita/day),2004,49,,Official data
FS,Belize,Per capita food supply variability (kcal/capita/day),2005,31,,Official data
FS,Belize,Per capita food supply variability (kcal/capita/day),2006,16,,Official data
FS,Belize,Per capita food supply variability (kcal/capita/day),2007,16,,Official data
FS,Belize,Per capita food supply variability (kcal/capita/day),2008,18,,Official data
FS,Belize,Per capita food supply variability (kcal/capita/day),2009,40,,Official data
FS,Belize,Per capita food supply variability (kcal/capita/day),2010,41,,Official data
FS,Belize,Per capita food supply variability (kcal/capita/day),2011,47,,Official data
FS,Solomon Islands,Per capita food supply variability (kcal/capita/day),2000,58,,Official data
FS,Solomon Islands,Per capita food supply variability (kcal/capita/day),2001,53,,Official data
FS,Solomon Islands,Per capita food supply variability (kcal/capita/day),2002,67,,Official data
FS,Solomon Islands,Per capita food supply variability (kcal/capita/day),2003,47,,Official data
FS,Solomon Islands,Per capita food supply variability (kcal/capita/day),2004,26,,Official data
FS,Solomon Islands,Per capita food supply variability (kcal/capita/day),2005,26,,Official data
FS,Solomon Islands,Per capita food supply variability (kcal/capita/day),2006,25,,Official data
FS,Solomon Islands,Per capita food supply variability (kcal/capita/day),2007,12,,Official data
FS,Solomon Islands,Per capita food supply variability (kcal/capita/day),2008,19,,Official data
FS,Solomon Islands,Per capita food supply variability (kcal/capita/day),2009,21,,Official data
FS,Solomon Islands,Per capita food supply variability (kcal/capita/day),2010,21,,Official data
